complex_id;stage;camera_place;lat;lon;place_type;road_type;is_settlement;lanes;intensity;intensity_min;intensity_max;intensity_avg
2115;1;пос. Матвеев Курган – с. Авило-Успенка (до границы с Донецкой Народной Республикой) , км 5+450;47,643529;38,820762;1;2;0;2;11090;11090;11090;11090
2116;1;Западный подъезд к г. Таганрогу, км 5+700;47,223259;38,842589;1;2;0;2;11000;11000;11000;11000
2117;1;А-135 Подъездная дорога от автомобильной дороги М-4 Дон к г. Ростову-на-Дону, западный подъезд, км 3+650;47,144877;39,673007;0;1;0;4;21692-52561;21692;52561;37127
2118;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 913+750;48,456798;40,34069;0;1;0;4;1468-80232;1468;80232;40850
2119;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 822+100;49,20782;40,627918;0;1;0;4;1468-80232;1468;80232;40850
2120;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 874+400;48,791533;40,395303;0;1;0;4;1468-80232;1468;80232;40850
2121;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 886+100;48,699208;40,345702;0;1;0;2;1468-80232;1468;80232;40850
2122;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 982+900;47,853231;40,197971;0;1;0;4;1468-80232;1468;80232;40850
2123;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 951+100;48,130486;40,25973;0;1;0;4;1468-80232;1468;80232;40850
2124;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 918+900;48,410164;40,340276;0;1;0;4;1468-80232;1468;80232;40850
2125;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 930+180;48,308913;40,31574;0;1;0;4;1468-80232;1468;80232;40850
2126;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 817+500;49,248104;40,637941;0;1;0;4;1468-80232;1468;80232;40850
2127;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 827+100;49,167709;40,599689;0;1;0;4;1468-80232;1468;80232;40850
2128;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 853+150;48,969515;40,450806;0;1;0;4;1468-80232;1468;80232;40850
2129;1;г. Ростов-на-Дону – сл. Родионово-Несветайская – г. Новошахтинск, км 37+100;47,603711;39,703658;0;2;0;2;13033;13033;13033;13033
2130;1;с. Дубовское – с. Заветное, км 92+170;47,123141;43,905977;0;2;0;2;12275;12275;12275;12275
2131;1;с. Дубовское – с. Заветное, км 90+430;47,129931;43,885223;0;2;0;2;12275;12275;12275;12275
2132;1;с. Дубовское – с. Заветное, км 52+050;47,268176;43,416208;0;2;0;2;12275;12275;12275;12275
2133;1;«Магистраль «Дон» – пос. Щепкин – г. Ростов-на-Дону, км 4+700;47,37834;39,833563;0;1;0;2;12041;12041;12041;12041
2134;1;Западный подъезд к г. Таганрогу, км 3+000;47,218561;38,809144;0;2;0;2;11000;11000;11000;11000
