"Участок","Комплекс_начало","Комплекс_конец","Пара","День недели","Час","Среднее время проезда (в секундах)","Средняя скорость на въезде","Средняя скорость на участке","Средняя скорость на выезде","geom","complex_point_start","complex_point_end"
AZ350037 - AZ350025,AZ350037,AZ350025,1,Вторник,5,339,"78,55852537","81,58324279","80,90193554","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Воскресенье,23,296,"85,73316782","93,84117001","84,24080132","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Вторник,12,316,"81,81780403","87,10307249","82,61028553","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Среда,0,327,"82,10250023","87,0855184","82,19673626","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Пятница,16,320,"83,66918911","87,0547201","82,64594612","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Среда,23,317,"80,54286955","87,045166","85,08113048","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Вторник,8,319,"81,01826263","87,01783358","84,01905413","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Среда,15,316,"82,57659321","87,0073416","82,45209842","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Понедельник,3,319,"82,55521758","86,97119885","81,54875773","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Понедельник,5,319,"81,34073573","86,96475758","81,8278786","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Вторник,5,322,"79,55285706","86,89788192","85,28654784","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Понедельник,16,317,"81,68023724","86,89473101","81,75993229","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Четверг,2,317,"81,43278841","86,88957357","83,13009603","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Понедельник,8,319,"81,15981107","86,886008","82,43986758","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Четверг,6,336,"77,99221842","81,61786419","80,39235096","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Четверг,22,318,"81,13360291","86,84897313","84,69632986","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Четверг,14,317,"82,2603293","86,78725151","82,38553359","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Вторник,13,318,"82,04540623","86,78140202","82,60868614","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Понедельник,13,325,"82,21628707","86,77326548","82,15275151","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Понедельник,15,319,"79,17944993","86,74582745","83,04914725","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Пятница,17,317,"82,54587358","86,71340259","82,77875808","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Пятница,21,318,"81,32694342","86,68245617","85,51930222","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Вторник,7,320,"80,23359372","86,67719672","84,51721368","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Пятница,13,318,"81,52575769","86,64821426","83,3231682","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Воскресенье,19,318,"82,1231544","86,64784742","84,14154502","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Среда,12,320,"82,63175457","86,63014463","82,73001431","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Понедельник,6,319,"81,08938975","86,60737774","82,38552523","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Четверг,10,320,"81,87732708","86,59873048","82,54981368","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Понедельник,18,344,"79,37733592","80,30828116","79,67862929","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Четверг,16,336,"79,36186632","81,94401652","80,68236773","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Пятница,2,319,"81,39710257","86,59131366","85,73093478","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Воскресенье,10,304,"84,59177589","90,83374977","83,58764183","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Четверг,23,322,"80,99752755","86,5673254","83,1370055","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Понедельник,13,322,"82,786816","86,55461789","82,12460807","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Воскресенье,17,317,"82,67941943","86,54322472","83,83767696","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Пятница,15,319,"83,34029171","86,52797426","82,97690267","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Суббота,18,318,"81,75118697","86,51788473","83,25735933","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Воскресенье,21,306,"84,10974425","90,82923314","83,77784256","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Среда,12,319,"83,13347348","86,44898379","83,19344217","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
