"Участок","Комплекс_начало","Комплекс_конец","Пара","День недели","Час","Среднее время проезда (в секундах)","Средняя скорость на въезде","Средняя скорость на участке","Средняя скорость на выезде","geom","complex_point_start","complex_point_end"
AZ350025 - AZ350037,AZ350025,AZ350037,1,Вторник,9,305,"82,91559558","90,52670674","86,35318178","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Понедельник,6,301,"82,11527893","91,97777838","88,21605966","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Воскресенье,12,301,"85,33486001","91,95073437","84,02547859","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Пятница,23,306,"80,82758827","90,43216694","88,06117623","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Понедельник,20,347,"78,79172268","79,23414665","79,38803145","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Суббота,3,298,"81,90947387","92,6488281","87,72105262","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Суббота,15,306,"83,25743605","90,38055723","82,70608064","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Воскресенье,11,306,"84,45064426","90,32878214","83,901523","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Понедельник,9,299,"82,79952711","93,03190772","87,2330668","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Суббота,23,308,"84,64999988","90,31593773","84,33310757","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
