complex_id;camera_place;lat;lon;Тип участка;place_type;Тип дороги;road_type;Населенный пункт;is_settlement;lanes;intensity;intensity_min;intensity_max;intensity_avg;aav_speed;aav_belts;aav_all
975;"5 км. а/д г. Ростов-на-Дону-ц.у. КСП ""Темерницкое"", (ул. Лесная/ул. Молодёжная), Аксайский р-н, Ростовская обл.";47.33972;39.736615;линейный;1;муниципальная;3;да;1;2;5000;5000;5000;5000;11,9638;12,0704;25,0182
747;Шолохова просп., д.87, г. Ростов-На-Дону, Ростовская обл.;47.246581;39.77241;линейный;1;муниципальная;3;да;1;4;0;0;0;0;10,906;0;10,906
824;ул.Доватора, д.144/31, г. Ростов-На-Дону, Ростовская обл.;47.237678;39.614942;линейный;1;муниципальная;3;да;1;6;500-12000;500;12000;6250;10,83766667;0;10,83766667
737;ул.Шеболдаева, д.15, г. Ростов-На-Дону, Ростовская обл.;47.248434;39.696899;линейный;1;муниципальная;3;да;1;6;0;0;0;0;10,7912;0;14,9896
895;ул.Доватора, д.29/1, г. Ростов-На-Дону, Ростовская обл.;47.244122;39.646053;перекресток;0;муниципальная;3;да;1;2;500-12000;500;12000;6250;10,66;0;10,66
893;40-Летия Победы просп., д.18, (южная сторона), г. Ростов-На-Дону, Ростовская обл.;47.233768;39.790016;линейный;1;муниципальная;3;да;1;6;33600;33600;33600;33600;10,537;0;10,537
660;"16 км 130 м а/д ""г. Азов - с. Александровка - ст. Староминская (до границы Краснодарского края), Азовский р-н, Ростовская обл.";47.001898;39.388194;линейный;1;региональная;2;нет;0;2;16776;16776;16776;16776;10,3566;0;10,3566
777;ул.Красноармейская, д.145, (северная сторона), г. Ростов-На-Дону, Ростовская обл.;47.232347;39.732727;линейный;1;муниципальная;3;да;1;6;0;0;0;0;9,1922;0;9,1922
902;Космонавтов просп., д.5, г. Ростов-На-Дону, Ростовская обл.;47.280723;39.71655;линейный;1;муниципальная;3;да;1;8;0;0;0;0;8,8232;0;13,9154
778;ул.Доватора, д.189/28, г. Ростов-На-Дону, Ростовская обл.;47.23746;39.623515;линейный;1;муниципальная;3;да;1;4;500-12000;500;12000;6250;8,7248;0;8,7248
